cand_id,selection,path_std_hz,path_range_hz,freq_hz,snr_best,best_fit,snr_poly,snr_kepler,peak_loglike,multiplicity,nt_values,known_match,best_ar,track_path
cand_092,binary,0.080162,0.30303,475.9813000890472,4.29906415939331,poly,4.29906415939331,4.19544458389282,737.2111548130733,35,"16,32,64,128",J0024-7204J,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_092/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_092/cand_092_track.dat
cand_105,binary,0.015866,0.089047,378.31700801424756,4.29837846755981,poly,4.29837846755981,3.50353169441223,679.8428280773453,31,"16,32,64,128",J0024-7204O,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_105/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_105/cand_105_track.dat
cand_017,isolated,0.003238,0.026714,186.67230632235083,4.25211763381958,kepler,3.0735821723938,4.25211763381958,1134.4429422211845,23,"16,32,64,128",J0024-7204D,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_017/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_017/cand_017_track.dat
cand_204,binary,0.011391,0.037803,110.45527369826435,4.15646743774414,poly,4.15646743774414,1.66590356826782,164.91237922137137,2,"32,64",,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_204/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_204/cand_204_track.dat
cand_022,binary,0.252825,0.87344,100.034305144844,3.89678287506104,poly,3.89678287506104,2.14363646507263,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_022/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_022/cand_022_track.dat
cand_061,binary,0.028365,0.142602,221.053488762421,3.87640428543091,poly,3.87640428543091,2.92420101165771,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_061/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_061/cand_061_track.dat
cand_371,isolated,0.0,0.0,186.67230632235083,3.61402702331543,kepler,3.54905104637146,3.61402702331543,1134.4429422211845,23,"16,32,64,128",J0024-7204D,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_371/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_371/cand_371_track.dat
cand_062,binary,0.050175,0.196078,131.15292515902,3.58529138565063,kepler,3.30729556083679,3.58529138565063,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_062/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_062/cand_062_track.dat
cand_256,isolated,0.0,0.0,186.67230632235083,3.57377767562866,kepler,3.56229996681213,3.57377767562866,1134.4429422211845,23,"16,32,64,128",J0024-7204D,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_256/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_256/cand_256_track.dat
cand_034,binary,0.030611,0.213904,199.9982174688057,3.37959289550781,poly,3.37959289550781,3.35376453399658,1183.2177835181408,33,"16,32,64,128,256",,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_034/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_034/cand_034_track.dat
cand_072,binary,0.041508,0.178253,329.098525258712,3.36753249168396,poly,3.36753249168396,1.66483938694,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_072/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_072/cand_072_track.dat
cand_232,isolated,0.000445,0.001111,199.9982174688057,2.91192317008972,poly,2.91192317008972,2.11538577079773,1183.2177835181408,33,"16,32,64,128,256",,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_232/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_232/cand_232_track.dat
cand_010,binary,0.016842,0.124777,199.9982174688057,2.86499452590942,kepler,1.68655180931091,2.86499452590942,1183.2177835181408,33,"16,32,64,128,256",,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_010/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_010/cand_010_track.dat
cand_265,isolated,0.000492,0.001111,400.01247771836006,2.63907837867737,poly,2.63907837867737,1.93815779685974,768.0259827673948,36,"16,32,64,128,256",,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_265/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_265/cand_265_track.dat
cand_073,binary,0.027087,0.106952,122.083045801634,2.33771157264709,kepler,2.14926934242249,2.33771157264709,nan,,,,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_073/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_073/cand_073_track.dat
cand_015,isolated,0.004947,0.035619,186.67230632235083,2.18461394309998,kepler,2.00361776351929,2.18461394309998,1134.4429422211845,23,"16,32,64,128",J0024-7204D,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_015/kepler/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_015/cand_015_track.dat
cand_026,binary,0.013071,0.071238,216.673196794301,0.0,poly,0.0,0.0,842.6489541685589,32,"16,32,64,128,256",,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_026/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_026/cand_026_track.dat
cand_020,binary,0.012721,0.071238,216.673196794301,0.0,poly,0.0,0.0,842.6489541685589,32,"16,32,64,128,256",,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage4_fold/cand_020/poly/J0000-00_59391.1259965277_cfbf00000_00001.ar,/fred/oz022/vdimarco/software/install/viterbi_psr_search/code/experiments/47_Tuc_O_Alessandro_Ridolfi/47Tuc_blind_search_v1/stage3_viterbi/candidates/cand_020/cand_020_track.dat
